time_ms,case1,case2,case3a,case3b
45.700,1068729.949,-32099.212,-4468.930,-2192.316
45.800,1069018.781,-32189.845,-4622.974,-2406.648
45.900,1069284.217,-32288.058,-4771.174,-2620.755
46.000,1069525.645,-32393.995,-4912.728,-2833.190
46.100,1069742.457,-32507.791,-5046.897,-3042.537
46.200,1069934.048,-32629.573,-5173.016,-3247.416
46.300,1070099.819,-32759.461,-5290.494,-3446.497
46.400,1070239.173,-32897.566,-5398.824,-3638.509
46.500,1070351.518,-33043.994,-5497.578,-3822.252
46.600,1070436.269,-33198.839,-5586.419,-3996.605
46.700,1070492.843,-33362.191,-5665.094,-4160.530
46.800,1070520.664,-33534.133,-5733.442,-4313.088
46.900,1070519.163,-33714.739,-5791.389,-4453.435
47.000,1070487.773,-33904.075,-5838.951,-4580.836
47.100,1070425.937,-34102.203,-5876.233,-4694.665
47.200,1070333.103,-34309.175,-5903.422,-4794.409
47.300,1070208.724,-34525.039,-5920.790,-4879.676
47.400,1070052.261,-34749.834,-5928.690,-4950.192
47.500,1069863.183,-34983.594,-5927.546,-5005.806
47.600,1069640.963,-35226.344,-5917.857,-5046.487
47.700,1069385.083,-35478.107,-5900.185,-5072.324
47.800,1069095.033,-35738.895,-5875.152,-5083.526
47.900,1068770.309,-36008.718,-5843.436,-5080.415
48.000,1068410.415,-36287.577,-5805.759,-5063.423
48.100,1068014.863,-36575.468,-5762.886,-5033.090
48.200,1067583.172,-36872.384,-5715.614,-4990.054
48.300,1067114.870,-37178.307,-5664.766,-4935.050
48.400,1066609.492,-37493.219,-5611.183,-4868.900
48.500,1066066.581,-37817.094,-5555.719,-4792.505
48.600,1065485.689,-38149.900,-5499.228,-4706.842
48.700,1064866.376,-38491.602,-5442.563,-4612.953
48.800,1064208.208,-38842.159,-5386.564,-4511.934
48.900,1063510.762,-39201.525,-5332.053,-4404.931
49.000,1062773.622,-39569.651,-5279.826,-4293.123
49.100,1061996.380,-39946.481,-5230.647,-4177.721
49.200,1061178.639,-40331.956,-5185.242,-4059.949
49.300,1060320.006,-40726.014,-5144.292,-3941.039
49.400,1059420.099,-41128.587,-5108.429,-3822.220
49.500,1058478.545,-41539.603,-5078.229,-3704.705
49.600,1057494.977,-41958.987,-5054.212,-3589.685
49.700,1056469.037,-42386.661,-5036.833,-3478.316
49.800,1055400.378,-42822.542,-5026.480,-3371.712
49.900,1054288.657,-43266.543,-5023.475,-3270.932
50.000,1053133.542,-43718.577,-5028.067,-3176.978
50.100,1051934.709,-44178.551,-5040.435,-3090.781
50.200,1050691.842,-44646.369,-5060.683,-3013.196
50.300,1049404.631,-45121.933,-5088.844,-2944.995
50.400,1048072.778,-45605.142,-5124.878,-2886.864
50.500,1046695.990,-46095.893,-5168.673,-2839.391
50.600,1045273.982,-46594.079,-5220.050,-2803.070
50.700,1043806.479,-47099.593,-5278.761,-2778.291
50.800,1042293.213,-47612.322,-5344.495,-2765.343
50.900,1040733.922,-48132.155,-5416.879,-2764.405
51.000,1039128.353,-48658.976,-5495.484,-2775.553
51.100,1037476.261,-49192.669,-5579.829,-2798.754
51.200,1035777.409,-49733.115,-5669.386,-2833.870
51.300,1034031.564,-50280.194,-5763.583,-2880.659
51.400,1032238.506,-50833.784,-5861.811,-2938.779
51.500,1030398.016,-51393.761,-5963.430,-3007.791
51.600,1028509.887,-51960.003,-6067.777,-3087.164
51.700,1026573.916,-52532.381,-6174.166,-3176.279
51.800,1024589.909,-53110.771,-6281.900,-3274.437
51.900,1022557.677,-53695.044,-6390.273,-3380.863
52.000,1020477.040,-54285.072,-6498.582,-3494.717
52.100,1018347.822,-54880.725,-6606.125,-3615.098
52.200,1016169.855,-55481.873,-6712.214,-3741.054
52.300,1013942.978,-56088.385,-6816.179,-3871.592
52.400,1011667.034,-56700.131,-6917.370,-4005.683
52.500,1009341.874,-57316.979,-7015.167,-4142.274
52.600,1006967.356,-57938.797,-7108.985,-4280.296
